iteration,budget_used,classifier_type,query_strategy,uncertainty_method,embedding_backend,cf_inclusion_strategy,k_max,target_label_strategy,labeled_pool_size,unlabeled_pool_size,total_factuals,total_cfs,num_factuals_added,num_cfs_added,cf_pass_rate,budget_remaining,alpha_cf,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,0,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,20,480,20,0,0,0,,100,1.0,0.7105263157894737,0.5733926785872245,0.698551498449981,0.5758158158158159,0.6269559222836563
1,10,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,35,470,30,5,10,5,,90,1.0,,,,,
2,20,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,48,460,40,8,10,3,,80,1.0,,,,,
3,30,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,62,450,50,12,10,4,,70,1.0,,,,,
4,40,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,77,440,60,17,10,5,,60,1.0,,,,,
5,50,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,93,430,70,23,10,6,,50,1.0,,,,,
6,60,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,106,420,80,26,10,3,,40,1.0,,,,,
7,70,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,119,410,90,29,10,3,,30,1.0,,,,,
8,80,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,133,400,100,33,10,4,,20,1.0,,,,,
9,90,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,146,390,110,36,10,3,,10,1.0,,,,,
10,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,161,380,120,41,10,5,,0,1.0,,,,,
11,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,161,380,120,41,0,0,,0,1.0,0.8026315789473685,0.7919690098261527,0.8038206876317778,0.8443263403263404,0.7980005346164127
