iteration,budget_used,classifier_type,query_strategy,uncertainty_method,embedding_backend,cf_inclusion_strategy,k_max,target_label_strategy,labeled_pool_size,unlabeled_pool_size,total_factuals,total_cfs,num_factuals_added,num_cfs_added,cf_pass_rate,budget_remaining,alpha_cf,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,0,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,20,480,20,0,0,0,,100,1.0,0.585,0.5690407157773999,0.5690407157773999,0.5743122485775577,0.585
1,10,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,34,470,30,4,10,4,,90,1.0,,,,,
2,20,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,51,460,40,11,10,7,,80,1.0,,,,,
3,30,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,67,450,50,17,10,6,,70,1.0,,,,,
4,40,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,86,440,60,26,10,9,,60,1.0,,,,,
5,50,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,101,430,70,31,10,5,,50,1.0,,,,,
6,60,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,119,420,80,39,10,8,,40,1.0,,,,,
7,70,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,136,410,90,46,10,7,,30,1.0,,,,,
8,80,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,152,400,100,52,10,6,,20,1.0,,,,,
9,90,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,166,390,110,56,10,4,,10,1.0,,,,,
10,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,183,380,120,63,10,7,,0,1.0,,,,,
11,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,183,380,120,63,0,0,,0,1.0,0.62,0.6086617616240385,0.6086617616240385,0.6148775796707353,0.6199999999999999
