id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss196630,im feeling in love w my beloved mate this morning,love,,,,,
ss326000,i get from all that the more joy i can feel i still never ever have felt as horny as i did when on coke,love,,,,,
ss64472,i feel that im usually a pretty generous reader,love,,,,,
ss80333,i did a lot of pointing amp directing to both kyle and the movers feeling fairly useless to be honest,sadness,,,,,
ss214179,i feel a little weird reviewing such a pop game considering even ive never heard of most of the stuff i have been talking about but here it is,surprise,,,,,
ss90279,i start to feel like a badly abused vending machine,sadness,,,,,
ss5531,i fear ive lost my way i dont know how to say what i feel tom petty one more day one more night,anger,,,,,
ss367608,i feel sorry for the paterno family,sadness,,,,,
ss38985,i am not sure why you feel you would have to be rude in order to answer whether your chairs have been checked for this,anger,,,,,
ss231785,i feel a bit bashful about it but,fear,,,,,
ss159862,i was prepared mentally and physically with everything but the kitchen sink and yet i found myself feeling very anxious and stressed,fear,,,,,
ss57456,i kinda have the feeling that this video might be one of those things that maybe isnt as funny as i thought it was,surprise,,,,,
ss290915,i go to it when i am stressed or feeling overwhelmed,surprise,,,,,
ss284778,i may hav never said it no matter what emotion i was feeling or determined to feel to the contrary her wacky and goofy ass antics always brought a smile to either my face or my heart,joy,,,,,
ss303306,i feel i am not surprised i am incapable of coming up with anything,surprise,,,,,
ss285689,i dont know how am i suppose to feel abit irritated cus i kept feeling tinge of cramps,anger,,,,,
ss145000,i feel so scared at the first day,fear,,,,,
ss28658,i that empty am i that cold that you cant even feel my hand in yours am i that stubborn that i cant see whats infront of me whats infront of me is my world that i never knew,anger,,,,,
ss302456,i think its because im pregnant and currently home with two kids one of which is on february vacation this week that im feeling especially hostile towards ms,anger,,,,,
ss147861,i hide what i feel you think im happy,joy,,,,,
ss254849,i feel like i m on really shaky ground right now because i don t know for sure how i feel about certain things,fear,,,,,
ss171458,i feel unpleasant weight absence of energy,sadness,,,,,
ss273765,i was so impressed by the sheer professionalism of the set up and organisation and i have a feeling this competition will quickly become highly respected,joy,,,,,
ss413835,i am already beginning to feel the faintest pangs of longing for europe or asia,love,,,,,
ss32076,i kinda thought that they might be giving something like a keychain at least for the recipients but its a feeling ugly sling bag,sadness,,,,,
ss232476,i have an awful feeling it may have been half an hour before when i entered the shopping centre in my frantic attempt to do tasks as quickly as possible,fear,,,,,
ss411926,i am interested in mixed with music that i have loved for a long time and also combining these elements with the themes of the record and this sort of feeling of self sabotage and a longing for a sort of nostalgic america and people whose lives have become sort of mythic,love,,,,,
ss49913,i didnt feel like taking gu and the coke was amazing,surprise,,,,,
ss234145,i dont know why i feel so lively just like a new fresh start,joy,,,,,
ss314314,im feeling bouncy and i want to sleep and wake up tomorrow and go to my dear lt,joy,,,,,
ss212796,i feel smart a href http compromised fertility,joy,,,,,
ss138741,i knew they wanted me and that made me feel dangerous but desirable,anger,,,,,
ss116475,i trundled off to mercer street in covent garden feeling a tad nervous but probably more excited than scared,fear,,,,,
ss74521,i leave feeling challenged and eager to study the word more not looking for the holy spirit to give me another experience or confused not just about what happend but confused about scripture,joy,,,,,
ss28251,i wasnt preregistered so i almost bowed out at the last minute because i didnt feel like dealing with a cranky baby,anger,,,,,
ss183200,im one of those people who writes conversations in my mind over and over until i feel theyre word perfect,joy,,,,,
ss94624,i started to reeducate her subconscious thinking process about guilt and anger from her childhood giving her permission to feel long repressed feelings safely and appropriately,sadness,,,,,
ss40643,i was secretly feeling insecure about wearing the dress but when she saw me she asked me to back up from the register because she wanted to look at my dress,fear,,,,,
ss99940,i was in a very very massive pain in the process but now i feel relieved,joy,,,,,
ss135937,i kind of feel like trying to coalesce these stupid thoughts of mine into a concrete adventure module for other people to read through an,sadness,,,,,
ss212796_cf_sadness_1,i feel lost a href http shattered dreams of fertility,sadness,ss212796,joy,1.499998691289585,1.0,"{'term1': 1.0, 'term2': 0.4999986912895851, 'term3': 0.0, 'total': 1.499998691289585, 'p_orig': 0.0, 'p_target': 0.9999973825791701, 'similarity': 0.7784583568572998}"
ss138741_cf_fear_2,"I knew they wanted me, and that made me feel exposed but unavoidable.",fear,ss138741,anger,1.4999940930763584,2.0,"{'term1': 0.9999993524052618, 'term2': 0.49999474067109656, 'term3': 0.0, 'total': 1.4999940930763584, 'p_orig': 6.475947381732404e-07, 'p_target': 0.9999894813421931, 'similarity': 0.7729838490486145}"
ss116475_cf_joy_1,I trundled off to Mercer Street in Covent Garden feeling a bit giddy but probably more thrilled than anything else.,joy,ss116475,fear,1.4998982830339846,3.0,"{'term1': 0.9999999999666908, 'term2': 0.4998982830672939, 'term3': 0.0, 'total': 1.4998982830339846, 'p_orig': 3.330919027685732e-11, 'p_target': 0.9997965661345878, 'similarity': 0.7692309021949768}"
ss74521_cf_love_2,i leave feeling inspired and devoted to study the word more not seeking the holy spirit for another moment or uncertain not just about what happened but longing for deeper understanding of scripture,love,ss74521,joy,1.4998877136046649,4.0,"{'term1': 0.9999251533270768, 'term2': 0.4999625602775881, 'term3': 0.0, 'total': 1.4998877136046649, 'p_orig': 7.484667292327642e-05, 'p_target': 0.9999251205551762, 'similarity': 0.8292354345321655}"
ss28251_cf_love_2,i wasn’t preregistered so i almost bowed out at the last minute because i wanted to make sure the baby was comfortable and happy,love,ss28251,anger,1.4252749971648448,5.0,"{'term1': 0.9999995710222964, 'term2': 0.4252754261425483, 'term3': 0.0, 'total': 1.4252749971648448, 'p_orig': 4.2897770361721316e-07, 'p_target': 0.8505508522850966, 'similarity': 0.9063150882720947}"
ss135937_cf_fear_1,I kind of feel like trying to piece together these unsettling thoughts of mine into a concrete adventure module for other people to delve into and,fear,ss135937,sadness,1.347483240514145,6.0,"{'term1': 0.9867872091113338, 'term2': 0.36069603140281115, 'term3': 0.0, 'total': 1.347483240514145, 'p_orig': 0.013212790888666172, 'p_target': 0.7213920628056223, 'similarity': 0.8406965136528015}"
ss138201,i don t feel nearly as complacent now,joy,,,,,
