strategy,10,20,30,40,50
static (full),0.7039473684210527,0.7105263157894737,0.7039473684210527,0.7236842105263158,0.7105263157894737
static (factuals_only),0.7171052631578947,0.7105263157894737,0.7105263157894737,0.7105263157894737,0.7171052631578947
bm25 (factuals_only),0.7039473684210527,0.7236842105263158,0.7171052631578947,0.7302631578947368,0.7302631578947368
bm25 mixed (full),0.7105263157894737,0.6973684210526315,0.7105263157894737,0.7171052631578947,0.7171052631578947
bm25 factual_anchored (full),0.7105263157894737,0.7105263157894737,0.6973684210526315,0.6973684210526315,0.7236842105263158
contriever (factuals_only),0.7171052631578947,0.7171052631578947,0.6973684210526315,0.7171052631578947,0.7039473684210527
contriever mixed (full),0.7105263157894737,0.6973684210526315,0.6907894736842105,0.6842105263157895,0.6842105263157895
contriever factual_anchored (full),0.7105263157894737,0.6973684210526315,0.6907894736842105,0.6907894736842105,0.6842105263157895
bge_large (factuals_only),0.7039473684210527,0.7368421052631579,0.743421052631579,0.7368421052631579,
bge_large mixed (full),0.7039473684210527,0.743421052631579,0.7368421052631579,0.6973684210526315,
bge_large factual_anchored (full),0.7039473684210527,0.743421052631579,0.7368421052631579,0.7039473684210527,
