iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.7105263157894737,0.5734811069628837,0.6979983835423553,0.5803645477329689,0.6280983131445292
1,retrieval,uncertainty,entropy,30,470,10,0,0,90,1.0,,0.6907894736842105,0.6743266685984739,0.6887429400072189,0.7039553429027112,0.7213731200495224
2,retrieval,uncertainty,entropy,40,460,10,0,0,80,1.0,,0.7039473684210527,0.6656086601460449,0.6991887950237756,0.7231326442042137,0.6975719973550556
3,retrieval,uncertainty,entropy,50,450,10,0,0,70,1.0,,0.7368421052631579,0.6922905665762809,0.7369559012416155,0.7432928022186334,0.7185036367984917
4,retrieval,uncertainty,entropy,60,440,10,0,0,60,1.0,,0.743421052631579,0.7497940503432494,0.7490771407924847,0.7775091575091576,0.7904646942134809
5,retrieval,uncertainty,entropy,70,430,10,0,0,50,1.0,,0.743421052631579,0.7263679728746189,0.7485664019978713,0.7625074243744321,0.7573612459376188
6,retrieval,uncertainty,entropy,80,420,10,0,0,40,1.0,,0.7763157894736842,0.7551451893483205,0.7824255037433003,0.7852808691043986,0.7816806651753682
7,retrieval,uncertainty,entropy,90,410,10,0,0,30,1.0,,0.7894736842105263,0.7893851537993353,0.7940650134234059,0.8047188309285979,0.8263318279660659
8,retrieval,uncertainty,entropy,100,400,10,0,0,20,1.0,,0.7960526315789473,0.7932041757850334,0.7999157213162601,0.8030909090909091,0.8298405998958904
9,retrieval,uncertainty,entropy,110,390,10,0,0,10,1.0,,0.8026315789473685,0.7985808966861597,0.8063747819842002,0.8065000000000001,0.833349371825715
10,retrieval,uncertainty,entropy,120,380,10,0,0,0,1.0,,0.8092105263157895,0.803975812547241,0.811588992322075,0.8110724284844796,0.8380005346164128
