strategy,10,20,30,40,50,60,70
static (full),0.5612316997280764,0.5382110205090189,0.5297661832794498,0.5394555629360983,0.5423756957328386,0.5380125835099676,0.5474827996632508
static (factuals_only),0.5768346018039896,0.5639690156156643,0.5828207264303817,0.5694324460863249,0.5496706077809721,0.5610875762821224,0.5741022104199704
bm25 (factuals_only),0.5714071856820875,0.6018412698412698,0.5831159725648725,0.567247625275353,0.5621923755257088,0.5724301527600013,0.5886933302045663
bm25 mixed (full),0.6030073361704679,0.5699031714100207,0.5771146087410984,0.5508389236418838,0.5617320346285359,0.5738781094527363,0.5570928208576124
bm25 factual_anchored (full),0.5752809513934835,0.6081224444726997,0.5600226318304122,0.5656743894091252,0.5711131228897237,0.6033757289017542,0.5894948100068766
contriever (factuals_only),0.586407439516403,0.5634545604486227,0.5866950959488273,0.5712768955374079,0.5508723734571059,0.5633609439042375,0.5780766539033533
contriever mixed (full),0.5862005661213454,0.56570224743348,0.553034257945382,0.5537349958402589,0.5499164924021418,0.5432961384808488,0.5441377704158086
contriever factual_anchored (full),0.5741012022935685,0.5568489736413325,0.5475643896976484,0.537235268742118,0.5299041318705638,0.5461637234056418,0.5465170364797429
bge_large (factuals_only),0.5548982103732725,0.5345228450112698,0.5455518133362531,0.5174401056404452,0.558441664911427,0.5585753917356453,0.5493857881562322
bge_large mixed (full),0.5370684000996931,0.5525094304001515,0.5703236183723989,0.5360796401837206,0.5694162901024986,0.5738589483130688,0.5592920758925363
bge_large factual_anchored (full),0.5412303926481294,0.5461264385272181,0.5592444685107472,0.5360796401837206,0.5707752416298005,0.5790459300060746,0.5542132199716596
