iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,static,uncertainty,probe_entropy,20,480,0,0,0,100,1.0,,0.7039473684210527,0.5681682766091901,0.6916710617384845,0.5800782550782551,0.6245895412147047
1,static,uncertainty,probe_entropy,38,470,10,8,8,90,1.0,,0.6842105263157895,0.5491771084004093,0.6708773895156113,0.5627843653930611,0.5996853266553177
2,static,uncertainty,probe_entropy,58,460,10,10,18,80,1.0,,0.7105263157894737,0.5749878771306169,0.7002296005257881,0.5813333333333333,0.6227413628966831
3,static,uncertainty,probe_entropy,78,450,10,10,28,70,1.0,,0.7105263157894737,0.6890006986776405,0.7165481385857968,0.7126105473473894,0.7265424855911499
4,static,uncertainty,probe_entropy,98,440,10,10,38,60,1.0,,0.6973684210526315,0.6499015033474917,0.7023716666910067,0.6866165413533835,0.6796459338670119
5,static,uncertainty,probe_entropy,118,430,10,10,48,50,1.0,,0.7039473684210527,0.6563201337784417,0.7051092935958555,0.688015873015873,0.6842970966577095
6,static,uncertainty,probe_entropy,138,420,10,10,58,40,1.0,,0.7236842105263158,0.6756591125266255,0.7231547570646256,0.7006243676831913,0.7058135314227831
7,static,uncertainty,probe_entropy,158,410,10,10,68,30,1.0,,0.7171052631578947,0.6680728553516908,0.7180306895386167,0.6907529603181777,0.7011623686320855
8,static,uncertainty,probe_entropy,178,400,10,10,78,20,1.0,,0.75,0.7037364886064378,0.7491956320914305,0.7423755094807726,0.7243787897972679
9,static,uncertainty,probe_entropy,198,390,10,10,88,10,1.0,,0.7302631578947368,0.6881791164810034,0.7264572360773949,0.732829131652661,0.7149948648686671
10,static,uncertainty,probe_entropy,218,380,10,10,98,0,1.0,,0.7236842105263158,0.6834774544451964,0.7204285409930571,0.7266207932448342,0.7069559222836561
