iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.7171052631578947,0.5801537016068805,0.7034970856035025,0.5880544576196749,0.6251471367539404
1,retrieval,uncertainty,entropy,40,470,10,10,10,90,1.0,,0.6973684210526315,0.5637786943848649,0.682523228753289,0.5773549257759785,0.6244685490791936
2,retrieval,uncertainty,entropy,60,460,10,10,20,80,1.0,,0.7105263157894737,0.5760745677581377,0.6921109187776744,0.5852228499686127,0.6360162635940292
3,retrieval,uncertainty,entropy,80,450,10,10,30,70,1.0,,0.6973684210526315,0.5619620136455836,0.67952547790276,0.5734033381491008,0.6222231601457533
4,retrieval,uncertainty,entropy,100,440,10,10,40,60,1.0,,0.7302631578947368,0.5917980149663318,0.7142981931217992,0.594655138265686,0.6465425793835029
5,retrieval,uncertainty,entropy,120,430,10,10,50,50,1.0,,0.7302631578947368,0.7287441220055775,0.7291320450722494,0.7400635386119256,0.786834930148145
6,retrieval,uncertainty,entropy,140,420,10,10,60,40,1.0,,0.743421052631579,0.7378340003811702,0.7446874717883903,0.7456689536878216,0.7938524740077941
7,retrieval,uncertainty,entropy,160,410,10,10,70,30,1.0,,0.75,0.7461864511679722,0.7497837943672643,0.7538542938542938,0.8041368055262454
8,retrieval,uncertainty,entropy,180,400,10,10,80,20,1.0,,0.7697368421052632,0.7616876260993908,0.7712622677889706,0.7627435457624137,0.814663121315719
9,retrieval,uncertainty,entropy,198,390,10,8,88,10,1.0,,0.7763157894736842,0.7531642562462337,0.7780652617367713,0.7768553150062585,0.779435276241928
10,retrieval,uncertainty,entropy,218,380,10,10,98,0,1.0,,0.7960526315789473,0.7929300620991551,0.7986325594603428,0.799423076923077,0.8298405998958904
