iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,probe_entropy,20,480,0,0,0,100,1.0,,0.7171052631578947,0.5798043022909686,0.7056250514742439,0.5832268632268632,0.6304646942134807
1,retrieval,uncertainty,probe_entropy,38,470,10,8,8,90,1.0,,0.7039473684210527,0.5683905723905724,0.6894953925217083,0.5759575843786371,0.6245895412147047
2,retrieval,uncertainty,probe_entropy,57,460,10,9,17,80,1.0,,0.7171052631578947,0.5806528046421664,0.7060037136482405,0.5795394814262739,0.632710083146921
3,retrieval,uncertainty,probe_entropy,77,450,10,10,27,70,1.0,,0.75,0.6034007059868621,0.7395637596691779,0.5991822493224932,0.6449363853365035
4,retrieval,uncertainty,probe_entropy,97,440,10,10,37,60,1.0,,0.75,0.7017666106886847,0.7509470005029016,0.7409599274119373,0.7198486191420812
5,retrieval,uncertainty,probe_entropy,115,430,10,8,45,50,1.0,,0.6973684210526315,0.6604193192428486,0.6961887226980107,0.7147584871269081,0.6883906639091715
6,retrieval,uncertainty,probe_entropy,135,420,10,10,55,40,1.0,,0.6907894736842105,0.6645936331709528,0.6924683130217585,0.6807084395319689,0.7157005585334628
7,retrieval,uncertainty,probe_entropy,155,410,10,10,65,30,1.0,,0.6907894736842105,0.6637594072594072,0.6932107421087684,0.6805938264084184,0.7157005585334628
8,retrieval,uncertainty,probe_entropy,175,400,10,10,75,20,1.0,,0.7236842105263158,0.6752222320955474,0.7260675359696497,0.7028838808250573,0.7080589203562233
9,retrieval,uncertainty,probe_entropy,195,390,10,10,85,10,1.0,,0.7368421052631579,0.695974395974396,0.7373239577186945,0.7414761904761905,0.7196066348710589
10,retrieval,uncertainty,probe_entropy,215,380,10,10,95,0,1.0,,0.756578947368421,0.711377325633811,0.7561697458263522,0.7518148518148517,0.7346631213157192
