iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.6907894736842105,0.5583363698088714,0.6776715194733184,0.569271978021978,0.6164296064941824
1,retrieval,uncertainty,entropy,36,470,10,6,6,90,1.0,,0.7171052631578947,0.576888296888297,0.7068782095097884,0.5835039143862673,0.6273925256873807
2,retrieval,uncertainty,entropy,55,460,10,9,15,80,1.0,,0.7039473684210527,0.5674061188890425,0.688712244967844,0.5751639404656645,0.6215173726886046
3,retrieval,uncertainty,entropy,75,450,10,10,25,70,1.0,,0.7302631578947368,0.5924899156582324,0.7168138305058577,0.6018098223615465,0.6465425793835029
4,retrieval,uncertainty,entropy,92,440,10,7,32,60,1.0,,0.7171052631578947,0.6949494949494949,0.7210792131844763,0.7259611559611561,0.7323360392427206
5,retrieval,uncertainty,entropy,107,430,10,5,37,50,1.0,,0.7368421052631579,0.7351790262558703,0.7400385915562501,0.7474612010796221,0.7925890910114098
6,retrieval,uncertainty,entropy,127,420,10,10,47,40,1.0,,0.75,0.744982600508207,0.7526278516489895,0.7519964349376115,0.7931466865506456
7,retrieval,uncertainty,entropy,142,410,10,5,52,30,1.0,,0.8026315789473685,0.8137350965255665,0.8062851443994715,0.849400871459695,0.8356341535474613
8,retrieval,uncertainty,entropy,155,400,10,3,55,20,1.0,,0.8026315789473685,0.8139376970769986,0.8077728156947558,0.8484924158342583,0.8344917626865881
9,retrieval,uncertainty,entropy,174,390,10,9,64,10,1.0,,0.7828947368421053,0.7592876088169678,0.785079330537763,0.7880305010893245,0.787474218826939
10,retrieval,uncertainty,entropy,194,380,10,10,74,0,1.0,,0.8092105263157895,0.8027914230019493,0.8123304606545604,0.8103461538461539,0.8380005346164128
