iteration,budget_used,classifier_type,query_strategy,uncertainty_method,embedding_backend,cf_inclusion_strategy,k_max,target_label_strategy,labeled_pool_size,unlabeled_pool_size,total_factuals,total_cfs,num_factuals_added,num_cfs_added,cf_pass_rate,budget_remaining,alpha_cf,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,0,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,20,480,20,0,0,0,,100,1.0,0.7039473684210527,0.5676286676286676,0.6903401179716969,0.5758407382091593,0.6245895412147047
1,10,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,37,470,30,7,10,7,,90,1.0,0.7302631578947368,0.5851462911973894,0.7197903416217719,0.5914564188248399,0.6397670197948762
2,20,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,54,460,40,14,10,7,,80,1.0,0.7039473684210527,0.6845156848164367,0.7049046126014864,0.7140995236647412,0.7317784437034849
3,30,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,69,450,50,19,10,5,,70,1.0,0.7302631578947368,0.6878871880155989,0.727387525654612,0.7359488124488125,0.7183826446629806
4,40,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,85,440,60,25,10,6,,60,1.0,0.7368421052631579,0.7218545100124046,0.7403430367852113,0.7617039187227866,0.7572402538021075
5,50,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,98,430,70,28,10,3,,50,1.0,0.75,0.7548011048153228,0.7549524485132469,0.7773273001508296,0.8007490257319321
6,60,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,113,420,80,33,10,5,,40,1.0,0.756578947368421,0.7595651425692821,0.7598360881835312,0.7807368421052632,0.8054001885226297
7,70,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,128,410,90,38,10,5,,30,1.0,0.7631578947368421,0.76474924685451,0.7665573090088325,0.7832972972972974,0.8089089604524544
8,80,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,143,400,100,43,10,5,,20,1.0,0.7828947368421053,0.7720804709166819,0.7851625833626721,0.8280708180708182,0.787474218826939
9,90,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,157,390,110,47,10,4,,10,1.0,0.7960526315789473,0.7835363815828831,0.7958857591220267,0.8358695233695235,0.7956341535474613
10,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,173,380,120,53,10,6,,0,1.0,0.7960526315789473,0.8088454705553719,0.7973893918106271,0.8421818181818181,0.8321253816176368
