iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.7039473684210527,0.5676286676286676,0.6903401179716969,0.5758407382091593,0.6245895412147047
1,retrieval,uncertainty,entropy,40,470,10,10,10,90,1.0,,0.6776315789473685,0.6414848698099929,0.6698893940516315,0.7059390278976129,0.6733735702528173
2,retrieval,uncertainty,entropy,60,460,10,10,20,80,1.0,,0.7105263157894737,0.6731148408287079,0.7079048378203684,0.7301816603219128,0.696866209897907
3,retrieval,uncertainty,entropy,80,450,10,10,30,70,1.0,,0.7171052631578947,0.6688955924250041,0.7138383918569676,0.7015367231638419,0.703762761622045
4,retrieval,uncertainty,entropy,100,440,10,10,40,60,1.0,,0.75,0.7240468532567044,0.7514692679374895,0.7334496875673346,0.7665031865951969
5,retrieval,uncertainty,entropy,120,430,10,10,50,50,1.0,,0.743421052631579,0.7187122097760396,0.744694219554242,0.7302564102564103,0.7629944146653724
6,retrieval,uncertainty,entropy,140,420,10,10,60,40,1.0,,0.7631578947368421,0.7425902231639568,0.7651028497244496,0.7686835386835387,0.7682031729953056
7,retrieval,uncertainty,entropy,160,410,10,10,70,30,1.0,,0.7763157894736842,0.7531845113411932,0.776861456112002,0.7764994861769056,0.776363107715828
8,retrieval,uncertainty,entropy,180,400,10,10,80,20,1.0,,0.7960526315789473,0.7820758063991147,0.7969351137584221,0.8340841614525825,0.7880318143661746
9,retrieval,uncertainty,entropy,200,390,10,10,90,10,1.0,,0.8157894736842105,0.7977674980937757,0.8170568267496443,0.8447361382201981,0.8019459099499617
10,retrieval,uncertainty,entropy,220,380,10,10,100,0,1.0,,0.8026315789473685,0.7919669995657838,0.8009625602760702,0.8414632814632814,0.8025307052715991
