iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.7236842105263158,0.5848138957816378,0.7100888076270081,0.5920416984490211,0.6362582478650516
1,retrieval,uncertainty,entropy,30,470,10,0,0,90,1.0,,0.7105263157894737,0.5712794612794614,0.6988736044657097,0.5771645021645021,0.6238837537575561
2,retrieval,uncertainty,entropy,40,460,10,0,0,80,1.0,,0.7105263157894737,0.5728350168350168,0.6978287258550416,0.5820181904392431,0.6280983131445292
3,retrieval,uncertainty,entropy,50,450,10,0,0,70,1.0,,0.7236842105263158,0.7014512471655329,0.7262173290368779,0.7312736386420597,0.7434471503538317
4,retrieval,uncertainty,entropy,60,440,10,0,0,60,1.0,,0.75,0.7548321123321123,0.7530614396568344,0.7784547430175858,0.7985036367984918
5,retrieval,uncertainty,entropy,70,430,10,0,0,50,1.0,,0.7631578947368421,0.7644841657198637,0.7673723226670957,0.7841917072351855,0.8055211806581409
6,retrieval,uncertainty,entropy,80,420,10,0,0,40,1.0,,0.7828947368421053,0.7942621146428538,0.7877475141539207,0.8310494440929224,0.8171898873084877
7,retrieval,uncertainty,entropy,90,410,10,0,0,30,1.0,,0.7960526315789473,0.803711395210793,0.8014123759388951,0.837200378479151,0.8242074311681369
8,retrieval,uncertainty,entropy,100,400,10,0,0,20,1.0,,0.7960526315789473,0.8050871026994049,0.8018995973404607,0.8424841824841826,0.8242074311681369
9,retrieval,uncertainty,entropy,110,390,10,0,0,10,1.0,,0.8026315789473685,0.8101909934918776,0.808117853350925,0.8456375976964212,0.8277162030979615
10,retrieval,uncertainty,entropy,120,380,10,0,0,0,1.0,,0.8157894736842105,0.7952552819737543,0.8196976198426773,0.851180926916221,0.7982425188874351
