strategy,0,2,5,10
static (full),0.5742496173686299,0.5759104082180168,0.5812443059218413,0.5766568178929978
static (factuals_only),0.5787236003556115,0.5806041650376625,0.5851942373274927,0.5745018007202882
bm25 (factuals_only),0.583478590375142,0.5774369027199217,0.591263145442716,
bm25 mixed (full),0.5787236003556115,0.5819151830602708,0.5710503575498753,0.5751319902029366
bm25 factual_anchored (full),0.5689780119348422,0.5771838785281218,0.5838007986845196,
contriever (factuals_only),0.5686034395711814,0.5886133248067681,0.5754258953302405,
contriever mixed (full),0.5686034395711814,0.5742707947101718,0.5698390816483709,
contriever factual_anchored (full),0.5686034395711814,0.5742707947101718,0.5698390816483709,
bge_large (factuals_only),0.5862987801512392,0.5826696384058183,0.5980663780663781,
bge_large mixed (full),0.5862987801512392,0.5746011227639266,0.5789783427495292,
bge_large factual_anchored (full),0.5862987801512392,0.5692873290404294,0.5789783427495292,
