strategy,10,20,30,40,50,60
static (full),0.5888386045738189,0.6014710141879994,0.5827199725304849,0.595942052007053,0.5872728861213922,
static (factuals_only),0.5754547043032103,0.5801070902908186,0.5813505747126436,0.5852977880702552,0.5955931926035019,
bm25 (factuals_only),0.5802145082277054,0.5916979809924233,0.571337803228684,0.5810526315789474,0.5825625564866163,0.5825625564866163
bm25 mixed (full),0.5796019114984632,0.5773369286081151,0.587116564818167,0.5916559014361741,0.6024191189584448,0.6024191189584448
bm25 factual_anchored (full),0.58924704872092,0.5766067448134151,0.5815063520871144,0.5857566399257707,0.5919411148928241,0.5919411148928241
contriever (factuals_only),0.5851647289562767,0.5941593664698788,0.5975077086656034,0.592891753192505,0.5756961872949956,0.5756961872949956
contriever mixed (full),0.5720788530465949,0.5927464954006606,0.5828188276614427,0.5991339504459383,0.5940380646640679,0.5940380646640679
contriever factual_anchored (full),0.5720788530465949,0.5927464954006606,0.5828188276614427,0.5943892920908942,0.5892156256504809,0.5940380646640679
bge_large (factuals_only),0.5821110468478888,0.5814744825091523,0.5985644740654883,0.5882131661442006,0.5781080632473822,0.5781080632473822
bge_large mixed (full),0.5818810365916116,0.5797290640394089,0.5928789055668228,0.5964656793385397,0.5919202247930851,0.5919202247930851
bge_large factual_anchored (full),0.5869378212123614,0.5797290640394089,0.599263145442716,0.5964656793385397,0.5919202247930851,0.5919202247930851
