iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,static,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.7105263157894737,0.5718518375680034,0.7004982533484571,0.5790733525287302,0.6235681424893429
1,static,uncertainty,entropy,40,470,10,10,10,90,1.0,,0.6973684210526315,0.6800119901801941,0.695743186476259,0.7039029341133128,0.7282696717736602
2,static,uncertainty,entropy,60,460,10,10,20,80,1.0,,0.7105263157894737,0.6613408355676397,0.7091583207291293,0.6912088081424466,0.699938378424007
3,static,uncertainty,entropy,80,450,10,10,30,70,1.0,,0.7105263157894737,0.6902361525746109,0.7119504245319883,0.7144044665012407,0.7386749954276228
4,static,uncertainty,entropy,100,440,10,10,40,60,1.0,,0.6973684210526315,0.6806946502232443,0.6923042261414369,0.7087362637362637,0.7327998424288469
5,static,uncertainty,entropy,120,430,10,10,50,50,1.0,,0.7368421052631579,0.721465362123257,0.7390065656296612,0.7599649871594089,0.7549948648686672
6,static,uncertainty,entropy,140,420,10,10,60,40,1.0,,0.75,0.7334395007508215,0.7514212848761632,0.7660357360690324,0.7654001885226297
7,static,uncertainty,entropy,160,410,10,10,70,30,1.0,,0.7631578947368421,0.7439566849259485,0.7648035492146373,0.7722491764001197,0.7724177323822788
8,static,uncertainty,entropy,180,400,10,10,80,20,1.0,,0.7697368421052632,0.7492687778566944,0.7714121842343639,0.7755746867844537,0.7759265043121034
9,static,uncertainty,entropy,200,390,10,10,90,10,1.0,,0.7763157894736842,0.7546264871390463,0.7779749170025508,0.7790677379555234,0.779435276241928
10,static,uncertainty,entropy,220,380,10,10,100,0,1.0,,0.7763157894736842,0.7546264871390463,0.7779749170025508,0.7790677379555234,0.779435276241928
