iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,15,417,0,0,0,100,1.0,,0.8703703703703703,0.8708810215659532,0.8708810215659532,0.8788031934373398,0.8703703703703703
1,retrieval,uncertainty,entropy,29,407,10,4,4,90,1.0,,0.8703703703703703,0.871325995186807,0.871325995186807,0.8769236353077816,0.8703703703703703
2,retrieval,uncertainty,entropy,41,397,10,2,6,80,1.0,,0.8796296296296297,0.8804123006751774,0.8804123006751774,0.8888815480385248,0.8796296296296297
3,retrieval,uncertainty,entropy,54,387,10,3,9,70,1.0,,0.8611111111111112,0.8616177701006721,0.8616177701006721,0.8704602621243547,0.861111111111111
4,retrieval,uncertainty,entropy,66,377,10,2,11,60,1.0,,0.8888888888888888,0.8891352908802487,0.8891352908802487,0.8972647991543341,0.888888888888889
5,retrieval,uncertainty,entropy,83,367,10,7,18,50,1.0,,0.8981481481481481,0.8986550408092057,0.8986550408092057,0.9070501526896876,0.8981481481481483
6,retrieval,uncertainty,entropy,93,357,10,0,18,40,1.0,,0.9166666666666666,0.9173525820584644,0.9173525820584643,0.9242238562091503,0.9166666666666666
7,retrieval,uncertainty,entropy,103,347,10,0,18,30,1.0,,0.8981481481481481,0.8983490963606954,0.8983490963606954,0.9032084785133566,0.8981481481481483
8,retrieval,uncertainty,entropy,116,337,10,3,21,20,1.0,,0.8981481481481481,0.8983490963606954,0.8983490963606954,0.9032084785133566,0.8981481481481483
9,retrieval,uncertainty,entropy,126,327,10,0,21,10,1.0,,0.9074074074074074,0.908151826761311,0.908151826761311,0.9174278863833605,0.9074074074074074
10,retrieval,uncertainty,entropy,136,317,10,0,21,0,1.0,,0.8981481481481481,0.8986550408092057,0.8986550408092057,0.9070501526896876,0.8981481481481483
