iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,probe_entropy,20,480,0,0,0,100,1.0,,0.7236842105263158,0.5856114915862902,0.7103093891833169,0.5918747551899725,0.6286559086837651
1,retrieval,uncertainty,probe_entropy,30,470,10,0,0,90,1.0,,0.6973684210526315,0.561679099020038,0.6787689660746865,0.5815955117679256,0.619977771212313
2,retrieval,uncertainty,probe_entropy,40,460,10,0,0,80,1.0,,0.6907894736842105,0.5573523291963477,0.6766002313929055,0.5678978342749529,0.609969658173769
3,retrieval,uncertainty,probe_entropy,50,450,10,0,0,70,1.0,,0.7039473684210527,0.5675887930111646,0.6903424795758868,0.5746811713191023,0.6203749818277315
4,retrieval,uncertainty,probe_entropy,60,440,10,0,0,60,1.0,,0.7105263157894737,0.5718110460967605,0.696923565156648,0.5753145741381036,0.6280983131445292
5,retrieval,uncertainty,probe_entropy,70,430,10,0,0,50,1.0,,0.6907894736842105,0.6741260842159296,0.6910516932816624,0.6996182983682984,0.7202307291886492
6,retrieval,uncertainty,probe_entropy,80,420,10,0,0,40,1.0,,0.6973684210526315,0.7010617328369715,0.6980153645896566,0.7187984058951801,0.7602307291886492
7,retrieval,uncertainty,probe_entropy,90,410,10,0,0,30,1.0,,0.6907894736842105,0.6958013247634962,0.6909460625811293,0.7160606060606061,0.7567219572588247
8,retrieval,uncertainty,probe_entropy,100,400,10,0,0,20,1.0,,0.7302631578947368,0.758296408036269,0.7265709477502673,0.7713251388659738,0.8244685490791935
9,retrieval,uncertainty,probe_entropy,110,390,10,0,0,10,1.0,,0.7302631578947368,0.7581059181754188,0.72863587484595,0.7661177481829655,0.8199383784240071
10,retrieval,uncertainty,probe_entropy,120,380,10,0,0,0,1.0,,0.7302631578947368,0.741757400861553,0.7286515601520838,0.7606818181818181,0.786834930148145
