id,example,Label
ss229,i went by around 1:30p on a friday and there were still plenty of tables available even though they were busy and had nice outdoor seating as well . ,environment
ss274,the interior is clean and has an almost perfect health rating ,environment
ss59,very large space with lots of seating . ,environment
ss212,there 's construction right in front of the building so parking and getting around are a bit difficult ,environment
ss272,"nice open , clean and crisp atmosphere ",environment
ss337,"the prices were reasonable , between $ 5-$10 per roll , but the rolls were just ok . ",price
ss431,expensive and really not that great . ,price
ss134,the only down side is the prices are n't necessarily cheap depending on what your budget is but i believe you get what you pay for here ,price
ss264,  banh mi should be the common man 's poor people food and is $ 8 + in the austin area ,price
ss11,this particular location has a good check in deal . ,price
ss327,"the manager and staff were friendly , which is always a nice bonus . ",service
ss416,very expensive for a plastic cup togo dessert but ... disney . the salted caramel sundae was really good . share it ! ,service
ss306,"all you can say is yuuummmmmmmmyy , the line was n't bad given we were there around 3 pm ",service
ss131,we waited 2 hours for our food to be served - the manager briefly came to the table to see if everything was ok but failed to solve the problem ,service
ss5,our bill was around $ 400 - it was upsetting that they decided to be stingy about a $ 8 piece of cake . ,service
ss434,"the food was n't half bad either , but i had the bar food staples . ",products
ss276,the shoe was on special price so we got a good deal and bought the shoe as well ! ,products
ss34,"they offer a variety of leagues and training options with some discounts   about 10 %   for ubc students , staff , faculty and una residents . ",products
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products
ss310,best peanut butter ever .   i have a full blow addiction . try the cheesecake cone too . hell try all the flavors . ,products
