id,text,label
ss73,too many other places to shop with better prices . ,price
ss104,the food and drinks are priced well . ,price
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service
ss374,the black eyes peas and cornbread are delicious ! ,products
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products
ss388,environment was lively and diverse . ,environment
ss394,a manager so disrespectful what a shame ,service
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service
ss491,the environment was super sweet and people were nice ,environment
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products
ss62,lunch with the essence girls . the salmon burger was really yummy as well as the dry cider on tap . ,products
ss98,  it 's so peaceful and they have the best music ! ,environment
ss289,the wings were delicious . ,products
ss420,he was super friendly and helpful and made me feel welcomed . ,service
ss488,my phone screen was replaced in 30 minutes and looks great . ,service
ss134,the only down side is the prices are n't necessarily cheap depending on what your budget is but i believe you get what you pay for here ,price
ss416,very expensive for a plastic cup togo dessert but ... disney . the salted caramel sundae was really good . share it ! ,service
ss78,i love this restaurant all of my experiences there have been great . i encourage everyone to try it someday but beware it 's pricy . ,price
ss466,prices were reasonable and mission accomplished ! ,price
ss231,"pete comes across as a dependable , honest dude which is exactly what you 're looking for with an appliance repair guy . ",service
ss177,the girl at check in that took my info just started typing away and did not explain anything to me . ,service
ss199,"prices vary so you have to shop around , but every once in a while you can find a really awesome deal . ",price
ss137,"the staff here were very pleasant even through the cancellation process , and seemed to realize that someone 's ending use of a unit did n't have to mean permanent loss of a customer . ",service
ss23,great place to leave your little one . affordable and friendly staff . we are very happy to have them available . ,service
ss208,it was a little last minute and they were extremely accommodating . ,service
ss365,first time customers get a 10 % coupon on their website ,price
ss7,the portion sizes here are gigantic .... we ordered based on our hunger level and should have ordered one plate to share . ,products
ss439,the prices are pretty steep at $ 8.99 for a thali style buffet lunch ,price
ss449,no vegan donuts and $ 1 charge to use oat milk as creamer in my coffee ? no thanks ! i get the draw but as a vegan this place is unfriendly . ,products
ss353,great place for families ! clean safe and fun for all ages ! ! ,environment
ss197,we recently bought a sofa and two chairs along with some other home items here . ,products
ss17,all the instructors are friendly and helpful . ,service
ss125,the lines may be long at times ,service
ss224,it was $ 9.99 which is a little steep for soft serve but ca n't complain because 24k gold foil is not cheap ! ,price
ss347,everything we tried so far was delicious ! ,products
ss188,the portions are perfectly sized to fill you up without any leftovers . ,products
ss105,"i was looking for golf shoes , and found some that felt good and fit well but had no price . ",products
ss69,the owners are the nicest people and the service is excellent . ,service
ss385,they were so helpful and attentive . ,service
ss375,"the woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' .. ",service
ss458,they have added some new smoothie flavors but i still stick to my standard . ,products
ss290,i like their outdoor seating in the front with sun . ,environment
ss318,cheap prices ok staff there all younger people so that can be why other then that best place for grocery ,service
ss275,the flavors were not the best and the froyo itself was watery . ,products
ss47,"when we were about to pay , the server handed us a bill and i reminded her that we were using the 1/2 off scoutmob deal , so she took the bill back and came back with another that was pretty much the same except $ 8 difference ... really ? ! ? ",service
ss273,the staff was very friendly and they have a wide selection of drinks . ,products
ss46,horrible service attitude . ,service
ss482,clean process . we wash hands before even sitting down . feels good . every other seat for clients .   excellent service and massage ! thanks monica ! ,service
ss163,great customer service at a fair price . their method is safe and efficient with no need to tear everything apart . they really helped me out and i recommend you call them first . ,service
ss168,door dash . i ordered 1 samosa . 1 falafel ball . 1 shawarma wrap . falafel ball was tasty . overall everything is quite typical . ,products
ss26,it was very affordable too . ,price
ss267,they have an awesome return policy which makes me confident about the stuff i buy there . ,service
ss164,their local pickup option saves shipping costs ,price
ss383,we got the man size beer which was freakin huge for $ 2.99 ,products
ss402,one of the saddest buffets i 've been to . the selection though it seems many ... not so many great tasting edible dishes ... ,products
ss144,i do not care about paying money for my sushi but this was not worth the price ,price
ss114,slowest coffee shop i ' ve been to in boston . took 15 minutes for me to get a breakfast sandwich . ,service
ss43,"great customer service , great food that is fresh and cooked to order . ",service
ss355,it took the one and only waitress at least 1 hour to serve our food . ,service
