iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.7105263157894737,0.574588936553983,0.6989562885642862,0.5799235599235599,0.6269559222836563
1,retrieval,uncertainty,entropy,40,470,10,10,10,90,1.0,,0.7171052631578947,0.6965700219481732,0.7188353331763327,0.7215397215397216,0.738795987563134
2,retrieval,uncertainty,entropy,60,460,10,10,20,80,1.0,,0.7236842105263158,0.7225932491446286,0.7259336739920885,0.733771645021645,0.7745814281761609
3,retrieval,uncertainty,entropy,80,450,10,10,30,70,1.0,,0.7236842105263158,0.6738559218559219,0.7248844868581711,0.7041773231031543,0.702741362896683
4,retrieval,uncertainty,entropy,100,440,10,10,40,60,1.0,,0.7171052631578947,0.6667836417221159,0.7215657367029825,0.6938649296196466,0.6969478092451122
5,retrieval,uncertainty,entropy,120,430,10,10,50,50,1.0,,0.7105263157894737,0.6578876678876678,0.7138892905340274,0.6810733822399986,0.7010413764965742
6,retrieval,uncertainty,entropy,140,420,10,10,60,40,1.0,,0.7236842105263158,0.6674766641685386,0.7282485832293282,0.68987012987013,0.70467114056191
7,retrieval,uncertainty,entropy,160,410,10,10,70,30,1.0,,0.7236842105263158,0.6678481759438772,0.7294791225216394,0.6879271708683473,0.7038443609692502
8,retrieval,uncertainty,entropy,180,400,10,10,80,20,1.0,,0.7302631578947368,0.6747648624667258,0.7342558348810392,0.6936858537881555,0.7115676922860479
9,retrieval,uncertainty,entropy,198,390,10,8,88,10,1.0,,0.75,0.696503117195715,0.7530696177609585,0.7206971677559912,0.7266241787307081
10,retrieval,uncertainty,entropy,218,380,10,10,98,0,1.0,,0.75,0.6954799824169879,0.7537708431214474,0.7202575621443545,0.7266241787307081
