iteration,budget_used,classifier_type,query_strategy,uncertainty_method,embedding_backend,cf_inclusion_strategy,k_max,target_label_strategy,labeled_pool_size,unlabeled_pool_size,total_factuals,total_cfs,num_factuals_added,num_cfs_added,cf_pass_rate,budget_remaining,alpha_cf,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,0,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,20,480,20,0,0,0,,100,1.0,0.7105263157894737,0.5721669864527008,0.6981089781841663,0.5789079650999155,0.6280983131445292
1,10,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,35,470,35,0,10,5,,90,1.0,0.7236842105263158,0.5817307692307693,0.7128081622325043,0.5856975030992205,0.6385036367984918
2,20,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,51,460,51,0,10,6,,80,1.0,0.6973684210526315,0.6887487185127839,0.6978791047947606,0.7334734830387004,0.7218097234532468
3,30,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,65,450,65,0,10,4,,70,1.0,0.7039473684210527,0.6834429052519884,0.7044449062889497,0.7095095693779905,0.7283906639091715
4,40,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,81,440,81,0,10,6,,60,1.0,0.7236842105263158,0.7017574008615529,0.7220726127836627,0.7206818181818182,0.746834930148145
5,50,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,94,430,94,0,10,3,,50,1.0,0.7368421052631579,0.7116498316498315,0.7373560163033848,0.7273299313299313,0.7572402538021075
6,60,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,107,420,107,0,10,3,,40,1.0,0.7302631578947368,0.7279188696928436,0.7299583678077264,0.7399197584681455,0.786834930148145
7,70,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,124,410,124,0,10,7,,30,1.0,0.756578947368421,0.7484175084175083,0.7596446925394293,0.7554871794871796,0.8042577976617566
8,80,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,139,400,139,0,10,5,,20,1.0,0.7763157894736842,0.7753528569037303,0.7812568054529097,0.7878767507002802,0.8147841134512304
9,90,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,155,390,155,0,10,6,,10,1.0,0.8026315789473685,0.7972301740812379,0.8058907665682581,0.8023642533936652,0.833349371825715
10,100,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,170,380,170,0,10,5,,0,1.0,0.8026315789473685,0.81316398022781,0.8050306819595733,0.8403664731494921,0.8344917626865881
