iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,probe_entropy,20,480,0,0,0,100,1.0,,0.7039473684210527,0.5646720809228418,0.695118772696695,0.5726190476190476,0.6093848628521317
1,retrieval,uncertainty,probe_entropy,30,470,10,0,0,90,1.0,,0.6907894736842105,0.553251779666874,0.6722361964417576,0.5642050759697818,0.6020911005125751
2,retrieval,uncertainty,probe_entropy,40,460,10,0,0,80,1.0,,0.7039473684210527,0.563360957605793,0.6896716011195171,0.5667650894416968,0.603751694124378
3,retrieval,uncertainty,probe_entropy,50,450,10,0,0,70,1.0,,0.7302631578947368,0.5846230734852589,0.7160742216306758,0.5848320070733865,0.6223169524988628
4,retrieval,uncertainty,probe_entropy,60,440,10,0,0,60,1.0,,0.7302631578947368,0.5867872922364822,0.7184479054779808,0.5785663082437276,0.6298798988918433
5,retrieval,uncertainty,probe_entropy,70,430,10,0,0,50,1.0,,0.743421052631579,0.762168183071409,0.7440406019183609,0.7971983854563947,0.7806169660987539
6,retrieval,uncertainty,probe_entropy,80,420,10,0,0,40,1.0,,0.7368421052631579,0.708635719433682,0.7375998430260784,0.7170789341377576,0.7493223033526076
7,retrieval,uncertainty,probe_entropy,90,410,10,0,0,30,1.0,,0.7697368421052632,0.7710294133026145,0.7708392093585089,0.7829797979797981,0.8090299525879656
8,retrieval,uncertainty,probe_entropy,100,400,10,0,0,20,1.0,,0.7697368421052632,0.7870942458141406,0.769632421699126,0.8141336336336336,0.8090299525879656
9,retrieval,uncertainty,probe_entropy,110,390,10,0,0,10,1.0,,0.7631578947368421,0.7809143373248657,0.762293134769102,0.8078216374269006,0.8021334008638277
10,retrieval,uncertainty,probe_entropy,120,380,10,0,0,0,1.0,,0.7763157894736842,0.7914122807017544,0.7769572368421053,0.817143495531281,0.8125387245177901
