iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.7105263157894737,0.5705059831326078,0.6975308545778646,0.5780690607077413,0.6182505850298025
1,retrieval,uncertainty,entropy,30,470,10,0,0,90,1.0,,0.7302631578947368,0.7153443344334434,0.7310170227549071,0.7593745335124645,0.7447105333502159
2,retrieval,uncertainty,entropy,40,460,10,0,0,80,1.0,,0.7368421052631579,0.7429456568952368,0.7418817729520959,0.768562091503268,0.7793535831023697
3,retrieval,uncertainty,entropy,50,450,10,0,0,70,1.0,,0.75,0.7543674662152711,0.7552065997795454,0.7747780078214861,0.7897589067563322
4,retrieval,uncertainty,entropy,60,440,10,0,0,60,1.0,,0.7631578947368421,0.7647695035460993,0.7670020296752519,0.7868351909861344,0.8021334008638277
5,retrieval,uncertainty,entropy,70,430,10,0,0,50,1.0,,0.7828947368421053,0.78145689449869,0.7873775750178613,0.7986980972762854,0.8160474964476145
6,retrieval,uncertainty,entropy,80,420,10,0,0,40,1.0,,0.7894736842105263,0.7857112804636024,0.7945668063198005,0.8016632387220624,0.8195562683774392
7,retrieval,uncertainty,entropy,90,410,10,0,0,30,1.0,,0.7960526315789473,0.7909176215250072,0.8008457236737114,0.805,0.8230650403072637
8,retrieval,uncertainty,entropy,100,400,10,0,0,20,1.0,,0.7894736842105263,0.7867156862745098,0.7937548374613004,0.8020416061925495,0.8195562683774392
9,retrieval,uncertainty,entropy,110,390,10,0,0,10,1.0,,0.7960526315789473,0.79042934154794,0.7971312842416014,0.7969442233562745,0.8242074311681369
10,retrieval,uncertainty,entropy,120,380,10,0,0,0,1.0,,0.7828947368421053,0.7806305090076853,0.7833198951929605,0.7902427427427426,0.8171898873084877
