id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
30,"Premise: How to catch a crappie<br>Look in lakes, rivers and streams with clear water. Crappie are freshwater fish that are abundant in the wild and stocked in many ponds and lakes in the united states and canada. They're originally from north america, but they can be found in many countries across the world at this point.
Hypothesis: Crappie are a type of fish.",entailment,,,,,
55,"Premise: Marry Him If You Dare (; lit. Mirae's Choice or Future's Choice) is a 2013 South Korean television series starring Yoon Eun-hye, Lee Dong-gun, Jung Yong-hwa, Han Chae-ah, and Choi Myung-gil. It aired on KBS2 from October 14 to December 3, 2013 on Mondays and Tuesdays at 22:00 for 16 episodes.
Hypothesis: Marry Him If You Dare is a great show to watch if you have a lot of time on your hands.",neutral,,,,,
70,"Premise: How to prevent a dog from defecating in its crate<br>Make sure the crate is the right size. Oftentimes, dogs will defecate in their crate if it's too big. If the crate is large enough that your dog can comfortably poop in a corner he might choose to go in his crate rather than wait to be let out.
Hypothesis: You don't want your dog to be able to comfortably poop in its crate",entailment,,,,,
72,"Premise: How to lose weight with the gm diet plan<br>Eat only fruits for the first day. You should eat any type of fruit except bananas. You can eat as much fruit as you want (preferably more cantaloupe and watermelon).
Hypothesis: tomatoes are the helathiest fruit",neutral,,,,,
75,"Premise: Kinsey Millhone is a fictional character who was created by Sue Grafton for her ""alphabet mysteries"" series of novels. Millhone appears in a number of short stories written by Grafton. Grafton's mystery novels featuring Millhone are set in 1980s Santa Teresa, a fictionalized town based on Santa Barbara, California.
Hypothesis: Kinsey Millhone is a real person",contradiction,,,,,
148,"Premise: It is my duty, pursuant to Standing Order 38, to inform the House that the questions to be raised tonight at the time of adjournment are as follows: the hon. member for Mississauga West, Youth Employment; the hon. member for Cumberland-Colchester, Airport Safety; the hon. member for Wetaskiwin, Aboriginal Affairs.
Hypothesis: More than 500 Standing Orders exist.",neutral,,,,,
153,"Premise: Forecasters are saying today should be the hottest of the week, with a high that could hit 101 degrees. Winds should be calm throughout the morning but this afternoon a 5 to 8 mph breeze should develop out of the south-southeast. Overnight lows should be in the mid-60s. The National Weather Service is predicting the high temperature will step back to about 97 degrees. For the rest of the week, the highs are expected to linger in the 90s under clear skies, and the lows are supposed to stay in the 60s. For additional weather information visit www.chicoer.com/weather.
Hypothesis: The daytime weather this week will be hot.",entailment,,,,,
154,"Premise: Gelston is a village in the South Kesteven district of Lincolnshire, England. It is situated 2 mi west from the A607 road, 5 mi north from Grantham, and in the civil parish of Hough-on-the-Hill, a village 1 mi to the north-east. It is in the civil parish of Brant Broughton and Stragglethorpe.
Hypothesis: Gelston is 2 miles from A607",entailment,,,,,
157,"Premise: Datong () is a prefecture-level city in northern Shanxi province, People's Republic of China, located in a basin at an elevation of 1040 m and bordering Inner Mongolia to the north and west and Hebei to the east. It had a population of 3,318,057 at the 2010 census of whom 1,629,035 lived in the built up area made of 3 out of 4 urban districts, namely Chengqu, Kuangqu and Nanjiao District.
Hypothesis: chengqu is the smallest of the districts ",neutral,,,,,
180,"Premise: University Centre Weston, also known as UCW, is a university centre based in the town of Weston-super-Mare, Somerset, England. The centre was formed by Weston College in 2016 following the college's announcement of university centre status with UWE Bristol and Bath Spa University in November 2015.
Hypothesis: UCW's formation was announced in 2015.",entailment,,,,,
