iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,20,480,0,0,0,100,1.0,,0.6973684210526315,0.5623767738492754,0.6833865646620477,0.5728434065934065,0.6210807692848801
1,retrieval,uncertainty,entropy,40,470,10,10,10,90,1.0,,0.7236842105263158,0.584082161177634,0.7128715633398451,0.5900384294068505,0.6385036367984918
2,retrieval,uncertainty,entropy,60,460,10,10,20,80,1.0,,0.7105263157894737,0.6890068027210884,0.7102524167561762,0.715689223057644,0.7330418266998692
3,retrieval,uncertainty,entropy,80,450,10,10,30,70,1.0,,0.7368421052631579,0.7114402264402264,0.7390425911807491,0.7315375134822125,0.7538524740077941
4,retrieval,uncertainty,entropy,100,440,10,10,40,60,1.0,,0.7302631578947368,0.7176661433804291,0.7338132418959488,0.7616301448809188,0.7469559222836561
5,retrieval,uncertainty,entropy,120,430,10,10,50,50,1.0,,0.7171052631578947,0.6960601219499883,0.7179300017918977,0.7168594836146971,0.7421837673574473
6,retrieval,uncertainty,entropy,140,420,10,10,60,40,1.0,,0.7236842105263158,0.71192781954449,0.7237077758016642,0.7479775828460039,0.746834930148145
7,retrieval,uncertainty,entropy,160,410,10,10,70,30,1.0,,0.756578947368421,0.7395231289237699,0.7572621319818494,0.7692063492063491,0.7689089604524543
8,retrieval,uncertainty,entropy,180,400,10,10,80,20,1.0,,0.7828947368421053,0.7718867924528302,0.7859369283436994,0.8295103142471563,0.7840864390326256
9,retrieval,uncertainty,entropy,200,390,10,10,90,10,1.0,,0.7960526315789473,0.7814130711958769,0.7996220306245772,0.8360784313725489,0.7911039828922747
10,retrieval,uncertainty,entropy,220,380,10,10,100,0,1.0,,0.7828947368421053,0.7727448883456829,0.7850022598222699,0.8296327667114511,0.7840864390326256
