iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,entropy,15,417,0,0,0,100,1.0,,0.8703703703703703,0.8698699992817639,0.8698699992817639,0.8752334267040149,0.8703703703703703
1,retrieval,uncertainty,entropy,25,407,10,0,0,90,1.0,,0.8703703703703703,0.8707103354162178,0.8707103354162177,0.8770716619981326,0.8703703703703703
2,retrieval,uncertainty,entropy,35,397,10,0,0,80,1.0,,0.8796296296296297,0.8799019607843137,0.8799019607843136,0.8901515151515151,0.8796296296296298
3,retrieval,uncertainty,entropy,45,387,10,0,0,70,1.0,,0.8611111111111112,0.8616177701006721,0.8616177701006721,0.8704602621243547,0.861111111111111
4,retrieval,uncertainty,entropy,55,377,10,0,0,60,1.0,,0.8796296296296297,0.8799019607843137,0.8799019607843136,0.8901515151515151,0.8796296296296298
5,retrieval,uncertainty,entropy,65,367,10,0,0,50,1.0,,0.8981481481481481,0.8975616680052249,0.8975616680052249,0.9038914490527393,0.8981481481481483
6,retrieval,uncertainty,entropy,75,357,10,0,0,40,1.0,,0.8888888888888888,0.8886777684812825,0.8886777684812825,0.8968712766426901,0.888888888888889
7,retrieval,uncertainty,entropy,85,347,10,0,0,30,1.0,,0.9074074074074074,0.9075119167614437,0.9075119167614438,0.9146441372247823,0.9074074074074074
8,retrieval,uncertainty,entropy,95,337,10,0,0,20,1.0,,0.9074074074074074,0.908151826761311,0.908151826761311,0.9174278863833605,0.9074074074074074
9,retrieval,uncertainty,entropy,105,327,10,0,0,10,1.0,,0.8981481481481481,0.8981470976478999,0.8981470976479,0.9078257659653008,0.8981481481481483
10,retrieval,uncertainty,entropy,115,317,10,0,0,0,1.0,,0.8888888888888888,0.8894923448831588,0.8894923448831586,0.893256237006237,0.8888888888888888
