iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,probe_entropy,20,480,0,0,0,100,1.0,,0.7236842105263158,0.5854394227326558,0.7135173097579113,0.5910422300811317,0.6339734661433054
1,retrieval,uncertainty,probe_entropy,30,470,10,0,0,90,1.0,,0.6776315789473685,0.5487097137891505,0.6647168951598146,0.5621748336358137,0.6018097234532469
2,retrieval,uncertainty,probe_entropy,40,460,10,0,0,80,1.0,,0.7171052631578947,0.5742972501909414,0.7060393135729225,0.5755290778928154,0.6130146269174673
3,retrieval,uncertainty,probe_entropy,50,450,10,0,0,70,1.0,,0.7302631578947368,0.5924255319148937,0.7171136618141097,0.5907012528723055,0.6377978493413432
4,retrieval,uncertainty,probe_entropy,60,440,10,0,0,60,1.0,,0.75,0.6054308565531475,0.7370351793764597,0.5976141038703104,0.6559265043121034
5,retrieval,uncertainty,probe_entropy,70,430,10,0,0,50,1.0,,0.7171052631578947,0.7075732654066957,0.7144362855977361,0.7419970496035404,0.7365505986296936
6,retrieval,uncertainty,probe_entropy,80,420,10,0,0,40,1.0,,0.7302631578947368,0.7365083972631142,0.7285153104095508,0.7593631136665191,0.7778139816260781
7,retrieval,uncertainty,probe_entropy,90,410,10,0,0,30,1.0,,0.6842105263157895,0.6697070852287496,0.6807560518299445,0.7012572182808118,0.7178643481196978
8,retrieval,uncertainty,probe_entropy,100,400,10,0,0,20,1.0,,0.6842105263157895,0.659744373273785,0.6778707167445558,0.763506221413845,0.676055562589982
9,retrieval,uncertainty,probe_entropy,110,390,10,0,0,10,1.0,,0.6973684210526315,0.6729434509902814,0.691333146349077,0.7806697313148926,0.6906754456309177
10,retrieval,uncertainty,probe_entropy,120,380,10,0,0,0,1.0,,0.6973684210526315,0.6625979413844583,0.6916755199265548,0.7128770074422248,0.6929208345643578
