iteration,classifier_type,query_strategy,uncertainty_method,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,total_counterfactuals_so_far,budget_remaining,alpha_cf,cf_budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,retrieval,uncertainty,probe_entropy,20,480,0,0,0,100,1.0,,0.7039473684210527,0.5671532956046313,0.6898812454550998,0.5755127338291639,0.6181295928942914
1,retrieval,uncertainty,probe_entropy,37,470,10,7,7,90,1.0,,0.6973684210526315,0.5604395604395604,0.6802101407364566,0.5718130067276177,0.6120598207628132
2,retrieval,uncertainty,probe_entropy,55,460,10,8,15,80,1.0,,0.7105263157894737,0.5694082120762683,0.6979266044013308,0.5729821692024801,0.613720414374616
3,retrieval,uncertainty,probe_entropy,75,450,10,10,25,70,1.0,,0.7171052631578947,0.5809434901667911,0.7031606216343698,0.5829096989966555,0.6206169660987539
4,retrieval,uncertainty,probe_entropy,92,440,10,7,32,60,1.0,,0.7171052631578947,0.6629287300247053,0.7175935828877006,0.6862397470950102,0.6879268607230452
5,retrieval,uncertainty,probe_entropy,112,430,10,10,42,50,1.0,,0.7236842105263158,0.6791715200931858,0.721312657097753,0.7208246925488305,0.6925780235137429
6,retrieval,uncertainty,probe_entropy,132,420,10,10,52,40,1.0,,0.7302631578947368,0.7125608526558527,0.7272876560760597,0.7428160919540231,0.7303326345803026
7,retrieval,uncertainty,probe_entropy,152,410,10,10,62,30,1.0,,0.75,0.7277262420119562,0.746781727044885,0.7541376902667225,0.7484612895510627
8,retrieval,uncertainty,probe_entropy,172,400,10,10,72,20,1.0,,0.756578947368421,0.7242108843537415,0.7558702559971358,0.7362694447196705,0.7542154504143277
9,retrieval,uncertainty,probe_entropy,192,390,10,10,82,10,1.0,,0.75,0.7403796734004606,0.7491249660277105,0.7358942264135026,0.7860555156938055
10,retrieval,uncertainty,probe_entropy,212,380,10,10,92,0,1.0,,0.756578947368421,0.7443460599550825,0.7577314612573813,0.7449354507281336,0.78956428762363
