id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss73,too many other places to shop with better prices . ,price,,,,,
ss104,the food and drinks are priced well . ,price,,,,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,,,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,,,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,,,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,,,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,,,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,,,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,,,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,,,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,,,,
ss388,environment was lively and diverse . ,environment,,,,,
ss394,a manager so disrespectful what a shame ,service,,,,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,,,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,,,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,,,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,,,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,,,,
ss491,the environment was super sweet and people were nice ,environment,,,,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,,,,
ss386,everyone here is so friendly ! the whole establishment smells like great food and that 's exactly what it is . delicious ,products,,,,,
ss472,limited beer selection and food is over priced . service and atmosphere were good though . ,environment,,,,,
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,,,,,
ss342,"i love that for things you order regularly you can establish a standing order and get a 5 % discount   milk , eggs , etc .   . ",price,,,,,
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,,,,,
ss232,"it is a surreal experience and profound in that you live for a few hours as a blind person would , being served by a blind person . ",service,,,,,
ss449,no vegan donuts and $ 1 charge to use oat milk as creamer in my coffee ? no thanks ! i get the draw but as a vegan this place is unfriendly . ,products,,,,,
ss12,the food was great . the waiter was friendly and attentive . the only bad thing was that my cocktail tasted like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,products,,,,,
ss488,my phone screen was replaced in 30 minutes and looks great . ,service,,,,,
ss245,"they also sell single beads that range from $ 4 to $ 50 depending on the stone , gem , or complexity . most of these appeared to be semi - precious . ",products,,,,,
ss488_cf_products_0,my replacement phone screen arrived in 30 minutes and looks great .,products,ss488,service,1.7739809733207317,1.0,"{'term1': 0.9992903260316017, 'term2': 0.4996451629847018, 'term3': 0.2750454843044281, 'total': 1.7739809733207317, 'p_orig': 0.0007096739683982629, 'p_target': 0.9992903259694036, 'similarity': 0.9168182015419006}"
ss410_cf_price_1,"I got mango & taro moochi in coconut milk for just $6, such a steal!",price,ss410,products,1.7715436809419574,2.0,"{'term1': 0.9999038969913444, 'term2': 0.4999519484956722, 'term3': 0.2716878354549408, 'total': 1.7715436809419574, 'p_orig': 9.610300865561831e-05, 'p_target': 0.9999038969913444, 'similarity': 0.9056260585784912}"
ss449_cf_price_2,"$1 extra to use oat milk in my coffee and no vegan donuts? No thanks! I get the draw, but as a vegan, this place feels overpriced.",price,ss449,products,1.7701364191164815,3.0,"{'term1': 0.99999992265492, 'term2': 0.4999999612938675, 'term3': 0.2701365351676941, 'total': 1.7701364191164815, 'p_orig': 7.734507998608625e-08, 'p_target': 0.999999922587735, 'similarity': 0.900455117225647}"
ss449_cf_price_0,"$1 charge to use oat milk as creamer in my coffee? No thanks! I get the draw, but as a vegan, this place feels overpriced.",price,ss449,products,1.7625669832385935,4.0,"{'term1': 0.999999999721049, 'term2': 0.49999999981774595, 'term3': 0.2625669836997986, 'total': 1.7625669832385935, 'p_orig': 2.7895093717100395e-10, 'p_target': 0.9999999996354919, 'similarity': 0.8752232193946838}"
ss232_cf_environment_0,"it is a surreal experience and profound in that you live for a few hours as a blind person would, surrounded by the conditions they navigate daily.",environment,ss232,service,1.7617850600601503,5.0,"{'term1': 0.9999999999294701, 'term2': 0.4999999999633677, 'term3': 0.2617850601673126, 'total': 1.7617850600601503, 'p_orig': 7.052990745711725e-11, 'p_target': 0.9999999999267354, 'similarity': 0.8726168274879456}"
ss410_cf_price_0,I spent $6 on mango & taro moochi in coconut milk.,price,ss410,products,1.7610022102934753,6.0,"{'term1': 0.9999921106725949, 'term2': 0.49999605533605984, 'term3': 0.26101404428482056, 'total': 1.7610022102934753, 'p_orig': 7.8893274051655e-06, 'p_target': 0.9999921106721197, 'similarity': 0.8700467944145203}"
ss410_cf_price_2,I spent $6 on mango & taro moochi in coconut milk.,price,ss410,products,1.7610022102934078,7.0,"{'term1': 0.9999921106725949, 'term2': 0.4999960553359923, 'term3': 0.26101404428482056, 'total': 1.7610022102934078, 'p_orig': 7.889327405164432e-06, 'p_target': 0.9999921106719846, 'similarity': 0.8700467944145203}"
ss232_cf_environment_2,"It is a surreal experience and profound in that you spend a few hours immersed in how a blind person navigates the world, surrounded by their perspective and way of life.",environment,ss232,service,1.7533174752356864,8.0,"{'term1': 0.9999999999450713, 'term2': 0.4999999999717063, 'term3': 0.2533174753189087, 'total': 1.7533174752356864, 'p_orig': 5.492875639546623e-11, 'p_target': 0.9999999999434126, 'similarity': 0.8443915843963623}"
ss12_cf_service_1,the staff was great . the waiter was friendly and attentive . the only bad thing was that the bartender made my cocktail taste like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,service,ss12,products,1.7477699666055557,9.0,"{'term1': 0.9999999006869703, 'term2': 0.49999995018543875, 'term3': 0.24777011573314667, 'total': 1.7477699666055557, 'p_orig': 9.931302965066084e-08, 'p_target': 0.9999999003708775, 'similarity': 0.8259003758430481}"
ss342_cf_products_2,"i love that for items you use regularly you can establish a standing order and always have them on hand   milk , eggs , etc .   .",products,ss342,price,1.74668244757542,10.0,"{'term1': 0.9999999983948447, 'term2': 0.4999708523339948, 'term3': 0.2467115968465805, 'total': 1.74668244757542, 'p_orig': 1.6051553088370162e-09, 'p_target': 0.9999417046679896, 'similarity': 0.8223719596862793}"
ss183,great food and service ! ! ! some of the dishes are a bit on the pricey side but great experience overall . ,products,,,,,
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish ,environment,,,,,
ss308,this place is only worth your time if you are looking for discount designer jeans ,price,,,,,
ss120,home run on everything -- food drink atmosphere . for oyster lovers a meal at neptune is a religious experience . ,products,,,,,
ss284,"my other dining companions seemed pleased with their food   one ordered a veal marsala that i did not try and the other - my favorite - ordered off the menu , actually , a request they were kind enough to accommodate - it was gnocchi caprese with pesto sauce instead of tomato sauce , and it was gooeyyummydelicious   ! ",products,,,,,
ss258,me : then why did you tell me they were on discount ? ,price,,,,,
ss345,"dear hyatt place , if you are going to charge $ 75 for a pet fee , then tell me that my pet is n't allowed through the front door and lobby ",price,,,,,
ss148,"i travel the world as part of my job "" and relax station is now a "" must do "" when in boston . "" ",none,,,,,
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok . ,environment,,,,,
ss35,"they do not fill up your ice cream because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ? ",products,,,,,
ss308_cf_products_0,this place is only worth your time if you are looking for designer jeans,products,ss308,price,1.7872069813477909,1.0,"{'term1': 0.9999995549107347, 'term2': 0.49999973357549915, 'term3': 0.287207692861557, 'total': 1.7872069813477909, 'p_orig': 4.45089265374402e-07, 'p_target': 0.9999994671509983, 'similarity': 0.9573589563369751}"
ss35_cf_service_0,"they do not serve your ice cream properly because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ?",service,ss35,products,1.78070372995245,2.0,"{'term1': 0.9999994284941893, 'term2': 0.4999997137602778, 'term3': 0.2807045876979828, 'total': 1.78070372995245, 'p_orig': 5.715058106803199e-07, 'p_target': 0.9999994275205556, 'similarity': 0.935681939125061}"
ss35_cf_service_2,"they do not serve your ice cream fully because they say they leave room so you can take your cap off, what about the big hole in the center of the lid?",service,ss35,products,1.7798600766105621,3.0,"{'term1': 0.9988304843879056, 'term2': 0.4994152290291445, 'term3': 0.28161436319351196, 'total': 1.7798600766105621, 'p_orig': 0.0011695156120943913, 'p_target': 0.998830458058289, 'similarity': 0.9387145042419434}"
ss308_cf_products_1,this place is only worth your time if you are looking for high-quality designer jeans,products,ss308,price,1.778614329729419,4.0,"{'term1': 0.999999994397132, 'term2': 0.49999999311960996, 'term3': 0.278614342212677, 'total': 1.778614329729419, 'p_orig': 5.602867966883799e-09, 'p_target': 0.9999999862392199, 'similarity': 0.928714394569397}"
ss345_cf_service_1,"Dear Hyatt Place, if you are going to welcome pets with a $75 fee, then please ensure my pet is allowed through the front door and lobby.",service,ss345,price,1.7746171257179122,5.0,"{'term1': 0.994780678167078, 'term2': 0.497311534001411, 'term3': 0.2825249135494232, 'total': 1.7746171257179122, 'p_orig': 0.005219321832921991, 'p_target': 0.994623068002822, 'similarity': 0.941749632358551}"
ss284_cf_service_0,"my other dining companions seemed pleased with the attention they received   one made a request for veal marsala that i did not try and the other - my favorite - asked for something off the menu , actually , a special request they were kind enough to fulfill - it was gnocchi caprese with pesto sauce instead of tomato sauce , and the effort was gooeyyummydelicious   ! ",service,ss284,products,1.7712210190132738,6.0,"{'term1': 0.999876604728902, 'term2': 0.4999383001829618, 'term3': 0.2714061141014099, 'total': 1.7712210190132738, 'p_orig': 0.00012339527109795528, 'p_target': 0.9998766003659236, 'similarity': 0.9046870470046997}"
ss71_cf_products_0,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the dishes are underwhelming and the flavors are just ok .,products,ss71,environment,1.7684041186913473,7.0,"{'term1': 0.9999999950554859, 'term2': 0.4999999974685641, 'term3': 0.26840412616729736, 'total': 1.7684041186913473, 'p_orig': 4.944514085114917e-09, 'p_target': 0.9999999949371282, 'similarity': 0.894680380821228}"
ss35_cf_service_1,"they don’t fully assist with your ice cream because they say they leave room for you to take the cap off, but what about addressing the big hole in the center of the lid?",service,ss35,products,1.764762812573007,8.0,"{'term1': 0.9999984464887108, 'term2': 0.499999222689826, 'term3': 0.2647651433944702, 'total': 1.764762812573007, 'p_orig': 1.5535112892168076e-06, 'p_target': 0.999998445379652, 'similarity': 0.8825504779815674}"
ss90_cf_service_0,omg i love coming here the staff is always attentive very good timing the waiters are on point always sweet love the food definitely try the fish,service,ss90,environment,1.759094919580938,9.0,"{'term1': 0.9999999999149382, 'term2': 0.4999207813584285, 'term3': 0.2591741383075714, 'total': 1.759094919580938, 'p_orig': 8.506184307824631e-11, 'p_target': 0.999841562716857, 'similarity': 0.8639137744903564}"
ss345_cf_service_0,"dear hyatt place, if you are going to have rules about pets, then tell me that my pet isn't allowed through the front door and lobby",service,ss345,price,1.7583488145294366,10.0,"{'term1': 0.99999999999939, 'term2': 0.49983232407060446, 'term3': 0.25851649045944214, 'total': 1.7583488145294366, 'p_orig': 6.100004394841914e-13, 'p_target': 0.9996646481412089, 'similarity': 0.8617216348648071}"
ss407,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",environment,,,,,
ss125,the lines may be long at times ,service,,,,,
ss314,i was able to get a next day appointment .   had my rear window replaced and it came out great .   price was competitive . ,price,,,,,
ss141,this place was just okay . the service is really great but i felt that the food was nothing special . ,products,,,,,
ss405,great pad thai with tofu . will be definitely coming back for more . amazing customer service . ,products,,,,,
ss207,one of the new race track store with an amazing selection good hot food great coffee and very clean bathrooms . ,environment,,,,,
ss378,"he ordered the tires , gave me a great price and it was done that same day . ",service,,,,,
ss47,"when we were about to pay , the server handed us a bill and i reminded her that we were using the 1/2 off scoutmob deal , so she took the bill back and came back with another that was pretty much the same except $ 8 difference ... really ? ! ? ",service,,,,,
ss14,"rodney and his crew gave us a great price and did the work so quick , literally , it was done before we knew it ",service,,,,,
ss147,it 's wheelchair - accessible ,environment,,,,,
ss47_cf_price_1,"when we were about to pay, the server handed us a bill and i reminded her that we were using the 1/2 off scoutmob deal, so she took the bill back and came back with another that barely felt like a discount ... $8 less ? ! ?",price,ss47,service,1.7838900651440894,1.0,"{'term1': 0.9999974386960583, 'term2': 0.49999871341740676, 'term3': 0.2838939130306244, 'total': 1.7838900651440894, 'p_orig': 2.561303941761691e-06, 'p_target': 0.9999974268348135, 'similarity': 0.9463129639625549}"
ss314_cf_service_1,i was able to get a next day appointment .   had my rear window replaced and it came out great .   they were efficient and accommodating .,service,ss314,price,1.776939325871193,2.0,"{'term1': 0.9999999998308076, 'term2': 0.4999999935551864, 'term3': 0.276939332485199, 'total': 1.776939325871193, 'p_orig': 1.6919238349223083e-10, 'p_target': 0.9999999871103727, 'similarity': 0.9231310486793518}"
ss207_cf_products_0,"one of the new race track store with an amazing selection of hot food, great coffee, and a variety of convenient items to choose from.",products,ss207,environment,1.774975639017073,3.0,"{'term1': 0.9999982396411781, 'term2': 0.4999991193084511, 'term3': 0.27497828006744385, 'total': 1.774975639017073, 'p_orig': 1.7603588218890258e-06, 'p_target': 0.9999982386169022, 'similarity': 0.9165942668914795}"
ss207_cf_products_2,"One of the new race track stores with an amazing variety of hot meals, excellent coffee, and top-quality hygiene essentials.",products,ss207,environment,1.774458994673211,4.0,"{'term1': 0.9999998555004379, 'term2': 0.4999999261543556, 'term3': 0.27445921301841736, 'total': 1.774458994673211, 'p_orig': 1.4449956210720634e-07, 'p_target': 0.9999998523087112, 'similarity': 0.9148640036582947}"
ss314_cf_service_0,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the process was smooth and efficient .,service,ss314,price,1.7709415241927595,5.0,"{'term1': 1.0, 'term2': 0.4999999984950515, 'term3': 0.27094152569770813, 'total': 1.7709415241927595, 'p_orig': 0.0, 'p_target': 0.999999996990103, 'similarity': 0.9031383395195007}"
ss314_cf_service_2,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the process was smooth and efficient .,service,ss314,price,1.770941523875572,6.0,"{'term1': 0.9999999999740535, 'term2': 0.49999999820381014, 'term3': 0.27094152569770813, 'total': 1.770941523875572, 'p_orig': 2.5946520302880633e-11, 'p_target': 0.9999999964076203, 'similarity': 0.9031383395195007}"
